address,is_depot,lat,lng
"455 S 4th St, Louisville, KY 40202",TRUE,38.251698,-85.757308
"1604 PARKRIDGE PKWY, Louisville, KY, 40214",,38.141598,-85.793846
"1407 א53MCCOY, Louisville, KY, 40215",,38.202496,-85.786514
"4805 BELLEVUE AVE, Louisville, KY, 40215",,38.178844,-85.774864
"730 CECIL AVENUE, Louisville, KY, 40211",,38.248684,-85.821121
"650 SOUTH 29TH ST UNIT 315, Louisville, KY, 40211",,38.251923,-85.800034
"4629 HILLSIDE DRIVE, Louisville, KY, 40216",,38.176067,-85.824638
"4738 BELLEVUE AVE, Louisville, KY, 40215",,38.179806,-85.775558
"318 SO. 39TH STREET, Louisville, KY, 40212",,38.259335,-85.815094
"1324 BLUEGRASS AVE, Louisville, KY, 40215",,38.179253,-85.785118
"7305 ROYAL WOODS DR, Louisville, KY, 40214",,38.162472,-85.792854
"1661 W HILL ST, Louisville, KY, 40210",,38.229584,-85.783966
"3222 KINGSWOOD WAY, Louisville, KY, 40216",,38.210606,-85.822594
"1922 PALATKA RD, Louisville, KY, 40214",,38.153767,-85.796783
"1314 SOUTH 26TH STREET, Louisville, KY, 40210",,38.235847,-85.796852
"2135 MCCLOSKEY AVENUE, Louisville, KY, 40210",,38.218662,-85.789032
"1409 PHYLLIS AVE, Louisville, KY, 40215",,38.206154,-85.781387
"4504 SUNFLOWER AVE, Louisville, KY, 40216",,38.187511,-85.839149
"2512 GREENWOOD AVE, Louisville, KY, 40210",,38.241405,-85.795059
"5500 WILKE FARM AVE, Louisville, KY, 40216",,38.166065,-85.863319
"3640 LENTZ AVE, Louisville, KY, 40215",,38.193283,-85.786201
"1020 BLUEGRASS AVE, Louisville, KY, 40215",,38.17952,-85.780037
"123 NORTH 40TH ST, Louisville, KY, 40212",,38.26498,-85.814156
"7315 ST ANDREWS WOODS CIRCLE UNIT 104, Louisville, KY, 40214",,38.151072,-85.802867
"3210 POPLAR VIEW DR, Louisville, KY, 40216",,38.182594,-85.849937
"4519 LOUANE WAY, Louisville, KY, 40216",,38.1754,-85.811447
"6812 MANSLICK RD, Louisville, KY, 40214",,38.161839,-85.798279
"1524 HUNTOON AVENUE, Louisville, KY, 40215",,38.172031,-85.788353
"1307 LARCHMONT AVE, Louisville, KY, 40215",,38.209663,-85.779816
"434 N 26TH STREET #2, Louisville, KY, 40212",,38.26844,-85.791962
"678 WESTLAWN ST, Louisville, KY, 40211",,38.250397,-85.80629
"2308 W BROADWAY, Louisville, KY, 40211",,38.248882,-85.790421
"2332 WOODLAND AVE, Louisville, KY, 40210",,38.233579,-85.794257
"1706 WEST ST. CATHERINE, Louisville, KY, 40210",,38.239697,-85.783928
"1699 WATHEN LN, Louisville, KY, 40216",,38.216465,-85.792397
"2416 SUNSHINE WAY, Louisville, KY, 40216",,38.186245,-85.831787
"6925 MANSLICK RD, Louisville, KY, 40214",,38.158466,-85.798355
"2707 7TH ST, Louisville, KY, 40215",,38.212438,-85.785082
"2014 KENDALL LN, Louisville, KY, 40216",,38.179394,-85.826668
"612 N 39TH ST, Louisville, KY, 40212",,38.273354,-85.812012
"2215 ROWAN ST, Louisville, KY, 40212",,38.261703,-85.786781
"1826 W. KENTUCKY ST, Louisville, KY, 40210",,38.241611,-85.78653
"1810 GREGG AVE, Louisville, KY, 40210",,38.224716,-85.796211
"4103 BURRRELL DRIVE, Louisville, KY, 40216",,38.191753,-85.825836
"359 SOUTHWESTERN PKWY, Louisville, KY, 40212",,38.259903,-85.823463
"2407 W CHESTNUT ST, Louisville, KY, 40211",,38.252781,-85.792109
"225 S 22ND ST, Louisville, KY, 40212",,38.257616,-85.786658
"1404 MCCOY AVE, Louisville, KY, 40215",,38.202122,-85.786072
"117 FOUNT LANDING CT, Louisville, KY, 40212",,38.270061,-85.799438
"5504 SHOREWOOD DRIVE, Louisville, KY, 40214",,38.145851,-85.7798
"1406 CENTRAL AVE, Louisville, KY, 40208",,38.211025,-85.780251
"901 W WHITNEY AVE, Louisville, KY, 40215",,38.194115,-85.77494
"2109 SCHAFFNER AVE, Louisville, KY, 40210",,38.219699,-85.779363
"2906 DIXIE HWY, Louisville, KY, 40216",,38.209278,-85.798653
"814 WWHITNEY AVE, Louisville, KY, 40215",,38.193596,-85.773521
"1610 ALGONQUIN PWKY, Louisville, KY, 40210",,38.222153,-85.784187
"3524 WHEELER AVE, Louisville, KY, 40215",,38.195293,-85.788643
"5009 NEW CUT RD, Louisville, KY, 40214",,38.165905,-85.779701
"3122 ELLIOTT AVE, Louisville, KY, 40211",,38.251213,-85.804199
"911 GAGEL AVE, Louisville, KY, 40216",,38.173512,-85.807854
"4020 GARLAND AVE #lOOA, Louisville, KY, 40211",,38.246181,-85.818901
"5231 MT HOLYOKE DR, Louisville, KY, 40216",,38.169369,-85.85704
"1339 28TH S #2, Louisville, KY, 40211",,38.235275,-85.800156
